20231005_0076.fit  1  2460222.58768605  179.351  434.811  B  -9.429  0.003
20231005_0076.fit  2  2460222.58768605  684.494  871.838  B  -9.149  0.003
20231005_0076.fit  3  2460222.58768605  621.473  163.526  B  -8.341  0.005
20231005_0077.fit  1  2460222.58788824  179.579  434.424  V  -10.246  0.003
20231005_0077.fit  2  2460222.58788824  685.206  871.150  V  -9.844  0.004
20231005_0077.fit  3  2460222.58788824  621.723  163.137  V  -8.966  0.006
20231005_0078.fit  1  2460222.58800374  179.468  433.156  R  -10.788  0.003
20231005_0078.fit  2  2460222.58800374  684.549  869.565  R  -10.323  0.004
20231005_0078.fit  3  2460222.58800374  621.457  161.572  R  -9.394  0.007
20231005_0079.fit  1  2460222.58820315  179.498  434.760  B  -9.357  0.003
20231005_0079.fit  2  2460222.58820315  684.891  871.706  B  -9.068  0.004
20231005_0079.fit  3  2460222.58820315  621.574  163.322  B  -8.249  0.006
20231005_0080.fit  1  2460222.58840615  179.693  433.413  V  -10.236  0.003
20231005_0080.fit  2  2460222.58840615  684.876  870.305  V  -9.847  0.003
20231005_0080.fit  3  2460222.58840615  621.571  161.954  V  -8.953  0.006
20231005_0081.fit  1  2460222.58852084  180.123  435.240  R  -10.652  0.003
20231005_0081.fit  2  2460222.58852084  685.571  872.318  R  -10.111  0.004
20231005_0081.fit  3  2460222.58852084  622.446  163.728  R  -9.267  0.008
20231005_0082.fit  1  2460222.58872095  179.522  434.670  B  -9.287  0.003
20231005_0082.fit  2  2460222.58872095  684.877  871.710  B  -9.012  0.004
20231005_0082.fit  3  2460222.58872095  621.711  163.486  B  -8.175  0.006
20231005_0083.fit  1  2460222.5889229  180.026  433.419  V  -10.203  0.003
20231005_0083.fit  2  2460222.5889229  685.298  870.365  V  -9.817  0.004
20231005_0083.fit  3  2460222.5889229  622.223  162.129  V  -8.923  0.006
20231005_0084.fit  1  2460222.58903852  179.527  432.453  R  -10.817  0.003
20231005_0084.fit  2  2460222.58903852  684.960  869.462  R  -10.316  0.004
20231005_0084.fit  3  2460222.58903852  621.915  160.827  R  -9.415  0.007
20231005_0085.fit  1  2460222.58923759  179.489  434.243  B  -9.343  0.003
20231005_0085.fit  2  2460222.58923759  684.769  871.271  B  -9.046  0.004
20231005_0085.fit  3  2460222.58923759  621.574  162.975  B  -8.245  0.006
20231005_0086.fit  1  2460222.58944047  179.571  433.476  V  -10.264  0.003
20231005_0086.fit  2  2460222.58944047  684.934  870.249  V  -9.860  0.003
20231005_0086.fit  3  2460222.58944047  621.643  162.132  V  -8.974  0.006
20231005_0087.fit  1  2460222.58955551  179.514  432.951  R  -10.799  0.003
20231005_0087.fit  2  2460222.58955551  685.042  869.901  R  -10.313  0.004
20231005_0087.fit  3  2460222.58955551  621.489  161.579  R  -9.403  0.007
20231005_0088.fit  1  2460222.58975504  179.400  434.540  B  -9.403  0.003
20231005_0088.fit  2  2460222.58975504  684.777  871.502  B  -9.115  0.003
20231005_0088.fit  3  2460222.58975504  621.531  163.374  B  -8.296  0.006
20231005_0089.fit  1  2460222.5899578  179.866  433.602  V  -10.273  0.003
20231005_0089.fit  2  2460222.5899578  685.146  870.431  V  -9.859  0.003
20231005_0089.fit  3  2460222.5899578  622.014  162.495  V  -8.985  0.006
20231005_0090.fit  1  2460222.59007504  179.402  431.648  R  -10.729  0.003
20231005_0090.fit  2  2460222.59007504  684.484  868.494  R  -10.245  0.004
20231005_0090.fit  3  2460222.59007504  621.506  160.422  R  -9.311  0.007
20231005_0091.fit  1  2460222.59027411  179.482  434.522  B  -9.353  0.003
20231005_0091.fit  2  2460222.59027411  684.731  871.434  B  -9.055  0.004
20231005_0091.fit  3  2460222.59027411  621.477  163.453  B  -8.227  0.006
20231005_0092.fit  1  2460222.59047583  179.783  433.526  V  -10.294  0.003
20231005_0092.fit  2  2460222.59047583  685.250  870.470  V  -9.875  0.003
20231005_0092.fit  3  2460222.59047583  622.030  162.406  V  -9.012  0.006
20231005_0093.fit  1  2460222.59059342  180.476  435.919  R  -10.408  0.004
20231005_0093.fit  2  2460222.59059342  685.497  871.977  R  -10.088  0.005
20231005_0093.fit  3  2460222.59059342  621.809  159.778  R  -9.143  0.008
20231005_0094.fit  1  2460222.5907934  179.510  433.529  B  -9.299  0.003
20231005_0094.fit  2  2460222.5907934  684.812  870.566  B  -9.010  0.004
20231005_0094.fit  3  2460222.5907934  621.563  162.265  B  -8.182  0.006
20231005_0095.fit  1  2460222.59099907  178.682  432.574  V  -10.172  0.003
20231005_0095.fit  2  2460222.59099907  684.277  869.485  V  -9.765  0.004
20231005_0095.fit  3  2460222.59099907  620.943  161.402  V  -8.908  0.006
20231005_0096.fit  1  2460222.59111399  179.913  435.482  R  -10.738  0.003
20231005_0096.fit  2  2460222.59111399  684.791  872.328  R  -10.222  0.004
20231005_0096.fit  3  2460222.59111399  621.563  164.081  R  -9.318  0.007
20231005_0097.fit  1  2460222.59131409  179.108  435.395  B  -9.344  0.003
